Referencia,Municipio,Colonia,Victimas,Año,Mes,Latitud,Longitud,Link
168,Zapopan,Mariano Otero,7,2024,SEPTIEMBRE,20.634815724381685,-103.45338981432056,
169,Zapopan,Miguel Hidalgo,2,2024,OCTUBRE,20.747268904844145,-103.33512404271116,
170,Tlajomulco de Zúñiga,Lomas del Sur,6,2024,NOVIEMBRE,20.487413351151968,-103.40731553367914,
171,Zapopan,Lomas del Refugio,5,2024,NOVIEMBRE,20.74661975866226,-103.33696644533408,
172,Zapopan,Indígena de Mezquitán,24,2024,DICIEMBRE,20.741680046816583,-103.33337870194816,
173,Lagos de Moreno,Presa La Sauceda,3,2025,ENERO,21.3622314261546,-101.82394886115324,
174,Zapopan,Santa Lucía,1,2025,ENERO,20.794196313854133,-103.49841318271962,
175,Tlajomulco de Zúñiga,Lomas del Sur,1,2025,ENERO,20.488936702951115,-103.40257263082128,
176,Tlajomulco de Zúñiga,Fracc. Colinas de Desarrollo,2,2025,ENERO,20.47025097363445,-103.42377239565003,
177,Tlajomulco de Zúñiga,Fracc. Colinas de Desarrollo,1,2025,ENERO,20.468803035806083,-103.42483849333378,
178,Tlajomulco de Zúñiga,Fracc. Colinas de Desarrollo,1,2025,ENERO,20.468937443536987,-103.42349441602477,
179,Zapopan,Villa de Guadalupe,1,2025,ENERO,20.75567800909141,-103.3449025501004,
180,San Pedro Tlaquepaque,Cerro del Cuatro,1,2025,ENERO,20.603939826826284,-103.3646727054276,
181,Tlajomulco de Zúñiga,Paseos del Valle,1,2025,FEBRERO,20.525066926556143,-103.33239041224188,
182,Tonalá,El Sauz,1,2025,FEBRERO,20.57590563252933,-103.25276808704776,
183,San Pedro Tlaquepaque,Nueva Santa Maria,1,2025,FEBRERO,20.603723959864464,-103.38047172325072,
184,Zapopan,La Venta del Astillero,1,2025,FEBRERO,20.72090306344164,-103.54469353264348,
185,San Pedro Tlaquepaque,Los Puestos,1,2025,FEBRERO,20.603015264556063,-103.27128377021984,
186,Ameca,San Antonio Matute,1,2025,FEBRERO,20.570830722447383,-103.95243771266122,
187,Zapopan,Las Agujas,27,2025,FEBRERO,20.7925790406662,-103.48508981343087,
188,Tlajomulco de Zúñiga,Jardines de Santa Anita,4,2025,MARZO,20.55355945295092,-103.4829755864546,
189,Teuchitlán,La Estanzuela,0,2025,MARZO,20.669408859981708,-103.81749834414308,
190,Tlajomulco de Zúñiga,Cofradía de la Luz,2,2025,MARZO,20.47693245595519,-103.5552120890362,
191,El Arenal,Santa Cruz del Astillero,1,2025,MARZO,20.74089670159754,-103.63534851166388,
192,Ameca,Presa Tonchincalco,0,2025,MARZO,20.48323482706066,-103.9448642499544,
193,Lagos de Moreno,Hacienda San Bernardo,13,2025,MARZO,21.348114716709617,-101.84545459732064,
194,Guadalajara,Rancho Nuevo,1,2025,ABRIL,20.71824223388271,-103.3298034536166,
195,Tlajomulco de Zúñiga,Los Abedules,1,2025,ABRIL,20.52299425857747,-103.44971037121898,
196,Tonalá,Cofradía de la Luz,1,2025,ABRIL,20.47692126516464,-103.55526242778048,
197,San Pedro Tlaquepaque,Romita,1,2025,ABRIL,20.58768679329008,-103.33463916567956,
198,Zapopan,Cerro de Copalita,1,2025,ABRIL,20.8101900677918,-103.43522861422176,
199,Ixtlahuacán de los Membrillos,Capilla del Refugio,1,2025,ABRIL,20.437836334460343,-103.21198739092732,
200,Guadalajara,Balcones de Oblatos,3,2025,ABRIL,20.68778281178632,-103.29043983986978,
201,Tlajomulco de Zúñiga,Lomas del Sur,1,2025,ABRIL,20.49420728553188,-103.41488661283272,
202,Tonalá,Emiliano Zapata,1,2025,ABRIL,20.6904934283806,-103.25775787780184,
203,Ixtlahuacán de los Membrillos,Capilla del Refugio,1,2025,ABRIL,20.43725015750198,-103.21172667464386,
204,Tlajomulco de Zúñiga,Las Varitas,1,2025,MAYO,20.54564383818049,-103.45624867629024,
205,Tlajomulco de Zúñiga,Santa Cruz del Valle,1,2025,MAYO,20.55149253424441,-103.34480573807907,
